t,D_output
9476,-0.4854685130622697
9477,-0.4729940932397773
9478,-0.4605478343632215
9479,-0.44812958142328846
9480,-0.4357391263116488
9481,-0.42337620992191877
9482,-0.4110405241805231
9483,-0.39873171402256397
9484,-0.3864493793351103
9485,-0.37419307686117675
9486,-0.36196232204527135
9487,-0.3497565908208796
9488,-0.3375753213849336
9489,-0.3254179159122321
9490,-0.3132837422201616
9491,-0.30117213539231363
9492,-0.289082399379022
9493,-0.27701380854249147
9494,-0.26496560915467365
9495,-0.252937020876061
9496,-0.2409272381934884
9497,-0.2289354318165707
9498,-0.21696075003579082
9499,-0.2050023200671187
9500,-0.19305924935341734
9501,-0.18113062683251063
9502,-0.16921552418486743
9503,-0.1573129970582856
9504,-0.14542208626220005
9505,-0.13354181893474187
9506,-0.12167120970073816
9507,-0.10980926180426243
9508,-0.09795496822004016
9509,-0.08610731275074161
9510,-0.07426527111785464
9511,-0.06242781203299165
9512,-0.05059389825653046
9513,-0.03876248763910482
9514,-0.026932534181380995
9515,-0.015102989069635683
9516,-0.003272801710809986
9517,0.00855907924106291
9518,0.02039370484429447
9519,0.03223212483509299
9520,0.044075386589573495
9521,0.05592453408639464
9522,0.06778060685311887
9523,0.07964463890570447
9524,0.0915176576801798
9525,0.1034006829540711
9526,0.11529472575151105
9527,0.12720078722947964
9528,0.13911985755062978
9529,0.15105291473712162
9530,0.1630009235055588
9531,0.17496483407202812
9532,0.18694558093852018
9533,0.19894408165289573
9534,0.2109612355454044
9535,0.22299792242694647
9536,0.23505500126214116
9537,0.24713330880975004
9538,0.2592336582351734
9539,0.27135683767796065
9540,0.2835036087856237
9541,0.29567470521115685
9542,0.3078708310776072
9543,0.32009265939478593
9544,0.3323408304300073
9545,0.34461595004300183
9546,0.3569185879803285
9547,0.3692492761278056
9548,0.3816085066971183
9549,0.3939967303826787
9550,0.4064143544707976
9551,0.4188617409152723
9552,0.4313392043301947
9553,0.4438470099572355
9554,0.456385371582141
9555,0.46895444942621456
9556,0.481554347948312
9557,0.4941851136166699
9558,0.5068467326371945
9559,0.5195391286601676
9560,0.5322621604095884
9561,0.5450156192638218
9562,0.5577992268135942
9563,0.5706126323939469
9564,0.5834554105769089
9565,0.5963270585788167
